"1.8. Temporary Foreign Worker Program work permit holders with a valid permit on December 31st by destination(1), 2008 to 2017",,,,,,,,,,,
"1.8. Titulaires de permis de travail du Programme des travailleurs étrangers temporaires ayant un permis valide en date du 31 décembre, selon la destination(1), de 2008 à 2017",,,,,,,,,,,
,,,,,,,,,,,
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Newfoundland and Labrador,Terre-Neuve-et-Labrador,501,629,405,467,826,1269,991,546,540,349
Prince Edward Island,Île-du-Prince-Édouard,270,338,379,389,476,390,378,396,491,344
Nova Scotia,Nouvelle-Écosse,1076,1351,1301,1462,1412,1220,959,694,706,617
New Brunswick,Nouveau-Brunswick,850,891,805,972,1248,1304,1261,952,863,827
Quebec,Québec,7195,8051,8045,8135,8524,8941,8967,7377,7629,7181
Ontario,Ontario,35078,31191,28868,22876,23279,23251,19672,14368,15778,13519
Manitoba,Manitoba,2242,1954,1107,741,1065,1431,1234,855,757,679
Saskatchewan,Saskatchewan,1787,2443,1873,1432,2198,3780,3485,1726,1025,640
Alberta,Alberta,35512,38283,30072,28075,29697,40786,35556,18028,10752,8713
British Columbia,Colombie-Britannique,26352,28317,20584,15878,18570,22381,21555,14915,11706,13115
Northwest Territories,Territoires du Nord-Ouest,119,120,108,96,111,142,123,54,--,29
Nunavut,Nunavut,8,21,22,27,27,28,22,60,--,22
Yukon,Yukon,71,44,41,27,33,56,55,51,48,45
Not stated,Non déclaré,2178,2305,2203,7157,4409,2941,1277,55,713,206
Total unique persons,Total des personnes uniques,113239,115938,95813,87734,91875,107920,95535,60077,51035,46286
,,,,,,,,,,,
"1. Defined by the intended destination as specified on the permit and, when the intended destination is not specified for permits signed on or after January 1st, 2012, the last known address of the permit holder as of December 31st of the given year is used instead. In 2012, intended destination became an optional field for open employment authorizations.",,,,,,,,,,,
"Note: Due to privacy considerations, some cells containing a count of less than five have been suppressed with “--” except in circumstances where, in IRCC’s judgment, we are not releasing personal information on an identifiable individual. When only one cell is suppressed, the value in another cell is estimated and prefixed with “~” to protect the privacy of the individuals.",,,,,,,,,,,
,,,,,,,,,,,
"1. Défini par la destination prévue comme indiqué sur le permis et, lorsque la destination n’est pas spécifiée pour les permis signés sur ou après le 1er janvier 2012, la dernière adresse connue du titulaire de permis en date du 31 décembre de l'année donnée est utilisée à la place. En 2012, la destination prévue est devenu un champ facultatif pour les autorisations d'emploi ouvertes.",,,,,,,,,,,
"* Pour des raisons de protection des renseignements personnels, certaines cellules dans les tableaux qui suivent ont été supprimées et remplacées par le symbole «--» sauf dans les cas où, à notre avis, nous ne divulguons pas de renseignements personnels sur une personne identifiable. Lorsqu'une seule cellule est supprimée, la valeur dans une autre cellule est estimée et préfixé par ""~"" pour protéger les individus.",,,,,,,,,,,
