Age group,2008,2010,2012,2014,2016,2018
All ages,33247118,34004889,34714222,35437435,36109487,37058856
0 to 4 years,1793552,1871905,1917338,1927705,1942791,1951024
5 to 9 years,1790489,1791169,1847505,1931039,2003223,2030883
10 to 14 years,2032298,1959099,1895451,1893264,1919810,1990826
15 to 19 years,2250947,2248876,2197641,2118889,2083843,2106893
20 to 24 years,2264625,2321972,2389961,2423034,2387191,2437542
25 to 29 years,2272852,2357383,2383927,2413496,2466106,2573476
30 to 34 years,2207388,2283236,2368073,2447837,2488660,2550512
35 to 39 years,2299965,2282303,2291997,2349272,2410025,2514450
40 to 44 years,2548685,2403059,2381473,2362412,2342178,2378927
45 to 49 years,2754800,2780175,2657781,2503611,2431118,2405692
50 to 54 years,2527565,2634392,2726209,2786582,2734564,2578047
55 to 59 years,2152651,2286060,2431791,2566359,2665850,2726152
60 to 64 years,1810185,1981245,2070138,2171609,2313160,2456212
65 to 69 years,1344053,1464326,1644577,1822528,1969181,2035754
70 to 74 years,1061520,1114688,1194047,1304022,1423187,1625256
75 to 79 years,901828,913391,925148,961547,1014301,1109870
80 to 84 years,661899,685077,714387,730784,742579,765850
85 to 89 years,386623,417899,437115,457587,480677,504086
90 to 94 years,143812,161696,188036,208837,223290,237609
95 to 99 years,36318,41196,44963,49296,59110,69827
100 years and over,5063,5742,6664,7725,8643,9968
